id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q889830,President of Serbia,Q403,Q403,,Q15455838,1991-01-11,,,,President of Serbia
Q835586,Prime Minister of Serbia,Q403,Q403,,Q4844765,1805-08-27,,,,Prime Minister of Serbia
Q16799332,Deputy Prime Minister of Serbia,Q403,Q403,,,1991-02-11,,,,Deputy Prime Minister of Serbia
Q2198698,Minister of Agriculture,Q403,Q403,,,1991,,,,
Q2198731,Minister of Culture,Q403,Q403,,,,,,,
Q2198783,Minister of Defense,Q403,Q403,,,,,,,Minister of Defence (Serbia)
Q108304950,Minister of Economy,Q403,Q403,,,,,,,
Q2198808,Minister of Education,Q403,Q403,,,,,,,
Q2198845,Minister of Energy and Mining,Q403,Q403,,,,,,,
Q108306926,Minister of Environmental Protection,Q403,Q403,,,,,,,
Q108306932,Minister of European Integration,Q403,Q403,,,,,,,
Q108306941,Minister of Families and Demographics,Q403,Q403,,,,,,,
Q2198943,Minister of Foreign Affairs,Q403,Q403,,,,,,,Minister of Foreign Affairs (Serbia)
Q2198964,Health Minister of Serbia,Q403,Q403,,,,,,,
Q16935308,Minister of Human and Minority Rights,Q403,Q403,,,2008,,,,Ministry of Human and Minority Rights and Social Dialogue (Serbia)
Q17098318,Minister of Information,Q403,Q403,,,,,,,Minister of Information (Serbia)
Q2199011,Minister of Internal Affairs,Q403,Q403,,,,,,,Minister of Internal Affairs (Serbia)
Q2199031,Minister of Justice of Serbia,Q403,Q403,,,,,,,
Q2199072,"Minister of Labour, Employment and Social Policy",Q403,Q403,,,,,,,
Q6866263,Minister of National Investment Plan,Q403,Q403,,,,,,,Ministry of National Investment Plan (Serbia)
Q2199719,Minister of Public Administration and Local Self-Government,Q403,Q403,,,,,,,
Q108304964,Minister of Rural Welfare,Q403,Q403,,,,,,,
Q2198867,"Minister of Trade, Tourism and Telecommunications",Q403,Q403,,,,,,,
Q2199745,"Minister of Transportation, Construction and Infrastructure",Q403,Q403,,,,,,,
Q2199761,Minister of Youth and Sports,Q403,Q403,,,,,,,
Q2199785,Minister without portfolio of the Republic of Serbia,Q403,Q403,,,1993-07-14,,,,Minister without portfolio (Serbia)
Q25052039,General Secretary of the Government of Serbia,Q403,Q403,,,,,,,Secretary-General of the Government of Serbia
Q7241347,President of the National Assembly of Serbia,Q403,Q403,,,1991-01-11,,,,President of the National Assembly of Serbia
Q109553278,Governor of the National Bank of Serbia,Q403,,,,,,,,
Q5097064,Chief of the General Staff,Q403,Q403,,,1876,,,,Chief of the Serbian General Staff
Q1264923,Mayor of Belgrade,Q403,Q3711,,Q11057167,,,,,Mayor of Belgrade
